service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATS 22_23-31105,0,0,0,0,0,1,1,20220820,20220821
ATS 22_23-31105-0000010,0,0,0,0,0,1,0,20220820,20220821
ATS 22_23-31164,1,1,1,1,1,0,0,20220822,20220822
ATS 22_23-31179,0,1,0,0,0,0,0,20220823,20220823
ATS 22_23-30826,1,1,1,1,1,0,0,20220824,20220824
ATS 22_23-31170,1,1,1,1,1,0,0,20220825,20220825
ATS 22_23-31138,0,0,0,0,0,1,0,20220827,20220827
ATS 22_23-31139,0,0,0,0,0,0,1,20220828,20220828
ATS 22_23-31172,1,1,1,1,1,0,0,20220830,20220831
BBL 22_23-30064,1,1,1,1,1,0,0,20220818,20221017
BCC 22_23-30746,1,1,1,1,1,0,0,20220818,20221017
BCC 22_23-30357,0,0,0,0,0,1,0,20220820,20221015
BCC 22_23-30355,0,0,0,0,0,0,1,20220821,20221016
BCC 22_23-31279,0,0,0,0,0,1,0,20220903,20220903
BITS 22_23-30132,1,1,1,1,1,0,0,20220818,20221017
BITS 22_23-30132-0000100,0,0,0,0,1,0,0,20220818,20221017
BITS 22_23-30135,0,0,0,0,0,1,0,20220820,20221015
BITS 22_23-30131,0,0,0,0,0,0,1,20220821,20221016
CDC 22_23-30945,1,1,1,1,1,0,0,20220818,20221017
BT 22_23-30934,1,1,1,1,1,0,0,20220818,20220819
BT 22_23-30934-0000100,0,0,0,0,1,0,0,20220818,20220819
BT 22_23-30934-1000000,1,0,0,0,0,0,0,20220818,20220819
BT 22_23-30934-0111100,0,1,1,1,1,0,0,20220818,20220819
BT 22_23-30936,0,0,0,0,0,1,0,20220820,20221015
BT 22_23-30940,0,0,0,0,0,0,1,20220821,20221016
BT 22_23-30931,1,1,1,1,1,0,0,20220822,20221017
BT 22_23-30931-0000100,0,0,0,0,1,0,0,20220822,20221017
BT 22_23-30931-1000000,1,0,0,0,0,0,0,20220822,20221017
BT 22_23-30931-0111100,0,1,1,1,1,0,0,20220822,20221017
BT 22_23-31093,0,0,0,0,0,1,0,20220903,20220903
BT 22_23-30932,1,1,1,1,1,0,0,20220919,20220923
BT 22_23-30932-0000100,0,0,0,0,1,0,0,20220919,20220923
BT 22_23-30942,1,1,1,1,1,0,0,20220926,20220930
BT 22_23-30942-0000100,0,0,0,0,1,0,0,20220926,20220930
BT 22_23-30941,0,0,0,0,0,0,1,20221003,20221003
CBL 22_23-30467,1,1,1,1,1,0,0,20220818,20221017
CBL 22_23-30467-0001000,0,0,0,1,0,0,0,20220818,20221017
CBL 22_23-30469,0,0,0,0,0,1,0,20220820,20221015
CBL 22_23-30470,0,0,0,0,0,0,1,20220821,20221016
CBL 22_23-31203,0,0,0,0,1,0,0,20220902,20220902
CBL 22_23-30468,1,1,1,1,1,0,0,20220919,20220930
CBL 22_23-30468-0001000,0,0,0,1,0,0,0,20220919,20220930
EVENT19_20-31176,0,0,0,0,0,0,1,20220828,20220828
GCLR 22_23-31205,1,1,1,1,0,0,0,20220818,20221017
GCLR 22_23-31204,0,0,0,0,1,0,0,20220819,20221014
GCLR 22_23-31206,0,0,0,0,0,1,0,20220820,20221015
GCLR 22_23-31207,0,0,0,0,0,0,1,20220821,20221016
GCLR 22_23-31208,0,0,0,0,1,0,0,20220826,20220826
GCLR 22_23-31209,0,0,0,0,0,1,0,20220827,20220827
GCLR 22_23-31210,0,0,0,0,0,0,1,20220828,20220828
GCLR 22_23-31211,0,0,0,0,1,0,0,20220902,20220902
GCLR 22_23-31212,0,0,0,0,0,1,0,20220903,20220903
GCLR 22_23-31213,0,0,0,0,0,0,1,20220904,20220904
GUNM-30345,1,1,1,1,1,0,0,20220818,20220819
GUNM-30346,1,1,1,1,1,0,0,20220822,20221017
HBL 22_23-30717,1,1,1,1,1,0,0,20220818,20221017
HBL 22_23-30717-0000100,0,0,0,0,1,0,0,20220818,20221017
HBL 22_23-30715,0,0,0,0,0,1,0,20220820,20221015
HBL 22_23-30718,0,0,0,0,0,0,1,20220821,20221016
HBL 22_23-30714,1,1,1,1,1,0,0,20220902,20220930
HBL 22_23-30714-0000100,0,0,0,0,1,0,0,20220902,20220930
HBL 22_23-30716,0,0,0,0,0,0,1,20221003,20221003
KBL 22_23-30903,1,1,1,1,1,0,0,20220818,20221017
KBL 22_23-30906,0,0,0,0,0,1,0,20220820,20221015
KBL 22_23-30907,0,0,0,0,0,0,1,20220821,20221016
KBL 22_23-30902,1,1,1,1,1,0,0,20220902,20220930
LBS 22_23-30138,1,1,1,1,1,0,0,20220818,20221017
LBS 22_23-30137,0,0,0,0,0,1,0,20220820,20221015
LBS 22_23-30139,0,0,0,0,0,0,1,20220821,20221016
LCBS 22_23-31113,1,1,1,1,1,0,0,20220818,20221017
LCBS 22_23-31113-0001000,0,0,0,1,0,0,0,20220818,20221017
LCBS 22_23-31113-0000100,0,0,0,0,1,0,0,20220818,20221017
LCBS 22_23-31115,0,0,0,0,0,1,0,20220820,20221015
LCBS 22_23-31117,0,0,0,0,0,0,1,20220821,20221016
LCBS 22_23-31116,1,1,1,1,1,0,0,20220902,20220930
LCBS 22_23-31116-0001000,0,0,0,1,0,0,0,20220902,20220930
LCBS 22_23-31116-0000100,0,0,0,0,1,0,0,20220902,20220930
LCBS 22_23-31119,0,0,0,0,0,0,1,20221003,20221003
LOGC 22_23-30141,1,1,1,1,1,0,0,20220818,20221017
LOGC 22_23-30142,0,0,0,0,0,1,0,20220820,20221015
MGB 22_23-30462,1,1,1,1,1,0,0,20220818,20221017
MGB 22_23-30464,0,0,0,0,0,1,0,20220820,20221015
MGB 22_23-30465,0,0,0,0,0,0,1,20220821,20221016
MGB 22_23-30463,1,1,1,1,1,0,0,20220902,20220930
PRT 22_23-31040,1,1,1,1,1,0,0,20220818,20221017
PRT 22_23-30629,0,0,0,0,0,1,0,20220820,20221015
PRT 22_23-30630,0,0,0,0,0,0,1,20220821,20221016
PRT 22_23-30631,1,1,1,1,1,0,0,20220902,20220930
QR 22_23-30492,1,1,1,1,0,0,0,20220818,20221017
QR 22_23-30494,0,0,0,0,1,0,0,20220819,20221014
QR 22_23-31004,0,0,0,0,0,1,0,20220820,20220820
QR 22_23-31052,0,0,0,0,0,0,1,20220821,20220821
QR 22_23-30991,1,1,1,1,0,0,0,20220822,20220822
QR 22_23-30993,1,1,1,1,0,0,0,20220823,20220823
QR 22_23-30995,1,1,1,1,0,0,0,20220824,20220824
QR 22_23-30997,1,1,1,1,0,0,0,20220825,20220825
QR 22_23-31229,0,0,0,0,0,1,0,20220827,20220827
QR 22_23-31230,0,0,0,0,0,0,1,20220828,20220828
QR 22_23-30999,1,1,1,1,0,0,0,20220830,20220831
QR 22_23-31234,0,0,0,0,0,1,0,20220903,20220903
QR 22_23-30498,0,0,0,0,0,0,1,20220904,20221016
QR 22_23-30496,0,0,0,0,0,1,0,20220910,20221015
SBL 22_23-31036,1,1,1,1,1,0,0,20220818,20220819
SBL 22_23-31036-1111000,1,1,1,1,0,0,0,20220818,20220819
SBL 22_23-31036-0000100,0,0,0,0,1,0,0,20220818,20220819
SBL 22_23-31043,0,0,0,0,0,1,0,20220820,20220820
SBL 22_23-31042,0,0,0,0,0,0,1,20220821,20220821
SBL 22_23-31247,1,1,1,1,1,0,0,20220822,20221017
SBL 22_23-31247-1111000,1,1,1,1,0,0,0,20220822,20221017
SBL 22_23-31247-0000100,0,0,0,0,1,0,0,20220822,20221017
SBL 22_23-31273,0,0,0,0,0,0,1,20220826,20220826
SBL 22_23-31244,0,0,0,0,0,1,0,20220827,20221015
SBL 22_23-31245,0,0,0,0,0,0,1,20220828,20221016
SBL 22_23-31264,0,0,0,0,1,0,0,20220902,20220902
SBL 22_23-31246,1,1,1,1,1,0,0,20220919,20220930
SBL 22_23-31246-0000100,0,0,0,0,1,0,0,20220919,20220930
SBL 22_23-31246-1111000,1,1,1,1,0,0,0,20220919,20220930
SUN 22_23-30730,1,1,1,1,1,0,0,20220818,20221017
SUN 22_23-30730-0010000,0,0,1,0,0,0,0,20220818,20221017
SUN 22_23-30730-0001000,0,0,0,1,0,0,0,20220818,20221017
SUN 22_23-30730-0000100,0,0,0,0,1,0,0,20220818,20221017
SUN 22_23-30732,0,0,0,0,0,1,0,20220820,20221015
SUN 22_23-30738,0,0,0,0,0,0,1,20220821,20221016
SUN 22_23-30736,1,1,1,1,1,0,0,20220902,20220930
SUN 22_23-30736-0010000,0,0,1,0,0,0,0,20220902,20220930
SUN 22_23-30736-0001000,0,0,0,1,0,0,0,20220902,20220930
SUN 22_23-30736-0000100,0,0,0,0,1,0,0,20220902,20220930
SUN 22_23-30728,0,0,0,0,0,0,1,20221003,20221003
TBS 22_23-30890,1,1,1,1,1,0,0,20220818,20221017
TBS 22_23-30874,0,0,0,0,0,1,0,20220820,20221015
TBS 22_23-30875,0,0,0,0,0,0,1,20220821,20221016
TBS 22_23-30883,1,1,1,1,1,0,0,20220902,20220930
TDEV 22_23-31187,1,1,1,1,1,0,0,20220818,20221017
TDEV 22_23-31183,0,0,0,0,0,1,0,20220820,20221015
TDEV 22_23-31181,0,0,0,0,0,0,1,20220821,20221016
TDEV 22_23-31189,1,1,1,1,1,0,0,20220902,20220930
TDEV 22_23-31186,1,1,1,1,1,1,1,20221003,20221003
WBS 22_23-30900,1,1,1,1,1,0,0,20220818,20221017
WBS 22_23-30643,0,0,0,0,0,1,0,20220820,20221015
WBS 22_23-30644,0,0,0,0,0,0,1,20220821,20221016
WBS 22_23-30642,1,1,1,1,1,0,0,20220919,20221003
