service_id,date,exception_type
BBL 22_23-30064,20221003,2
BCC 22_23-30357,20220903,2
BITS 22_23-30132,20221003,2
BITS 22_23-30132-0000100,20221003,2
BITS 22_23-30131,20221003,1
CDC 22_23-30945,20220902,2
CDC 22_23-30945,20220919,2
CDC 22_23-30945,20220920,2
CDC 22_23-30945,20220921,2
CDC 22_23-30945,20220922,2
CDC 22_23-30945,20220923,2
CDC 22_23-30945,20220926,2
CDC 22_23-30945,20220927,2
CDC 22_23-30945,20220928,2
CDC 22_23-30945,20220929,2
CDC 22_23-30945,20220930,2
CDC 22_23-30945,20221003,2
BT 22_23-30936,20220903,2
BT 22_23-30931,20220919,2
BT 22_23-30931-0000100,20220919,2
BT 22_23-30931-1000000,20220919,2
BT 22_23-30931-0111100,20220919,2
BT 22_23-30931,20220920,2
BT 22_23-30931-0000100,20220920,2
BT 22_23-30931-1000000,20220920,2
BT 22_23-30931-0111100,20220920,2
BT 22_23-30931,20220921,2
BT 22_23-30931-0000100,20220921,2
BT 22_23-30931-1000000,20220921,2
BT 22_23-30931-0111100,20220921,2
BT 22_23-30931,20220922,2
BT 22_23-30931-0000100,20220922,2
BT 22_23-30931-1000000,20220922,2
BT 22_23-30931-0111100,20220922,2
BT 22_23-30931,20220923,2
BT 22_23-30931-0000100,20220923,2
BT 22_23-30931-1000000,20220923,2
BT 22_23-30931-0111100,20220923,2
BT 22_23-30931,20220926,2
BT 22_23-30931-0000100,20220926,2
BT 22_23-30931-1000000,20220926,2
BT 22_23-30931-0111100,20220926,2
BT 22_23-30931,20220927,2
BT 22_23-30931-0000100,20220927,2
BT 22_23-30931-1000000,20220927,2
BT 22_23-30931-0111100,20220927,2
BT 22_23-30931,20220928,2
BT 22_23-30931-0000100,20220928,2
BT 22_23-30931-1000000,20220928,2
BT 22_23-30931-0111100,20220928,2
BT 22_23-30931,20220929,2
BT 22_23-30931-0000100,20220929,2
BT 22_23-30931-1000000,20220929,2
BT 22_23-30931-0111100,20220929,2
BT 22_23-30931,20220930,2
BT 22_23-30931-0000100,20220930,2
BT 22_23-30931-1000000,20220930,2
BT 22_23-30931-0111100,20220930,2
BT 22_23-30931,20221003,2
BT 22_23-30931-0000100,20221003,2
BT 22_23-30931-1000000,20221003,2
BT 22_23-30931-0111100,20221003,2
BT 22_23-30941,20221003,1
CBL 22_23-30467,20220902,2
CBL 22_23-30467-0001000,20220902,2
CBL 22_23-30467,20220919,2
CBL 22_23-30467-0001000,20220919,2
CBL 22_23-30467,20220920,2
CBL 22_23-30467-0001000,20220920,2
CBL 22_23-30467,20220921,2
CBL 22_23-30467-0001000,20220921,2
CBL 22_23-30467,20220922,2
CBL 22_23-30467-0001000,20220922,2
CBL 22_23-30467,20220923,2
CBL 22_23-30467-0001000,20220923,2
CBL 22_23-30467,20220926,2
CBL 22_23-30467-0001000,20220926,2
CBL 22_23-30467,20220927,2
CBL 22_23-30467-0001000,20220927,2
CBL 22_23-30467,20220928,2
CBL 22_23-30467-0001000,20220928,2
CBL 22_23-30467,20220929,2
CBL 22_23-30467-0001000,20220929,2
CBL 22_23-30467,20220930,2
CBL 22_23-30467-0001000,20220930,2
CBL 22_23-30467,20221003,2
CBL 22_23-30467-0001000,20221003,2
CBL 22_23-30470,20221003,1
GCLR 22_23-31204,20220826,2
GCLR 22_23-31204,20220902,2
GCLR 22_23-31206,20220827,2
GCLR 22_23-31206,20220903,2
GCLR 22_23-31207,20220828,2
GCLR 22_23-31207,20220904,2
GUNM-30346,20221003,2
HBL 22_23-30717,20220902,2
HBL 22_23-30717-0000100,20220902,2
HBL 22_23-30717,20220919,2
HBL 22_23-30717-0000100,20220919,2
HBL 22_23-30717,20220920,2
HBL 22_23-30717-0000100,20220920,2
HBL 22_23-30717,20220921,2
HBL 22_23-30717-0000100,20220921,2
HBL 22_23-30717,20220922,2
HBL 22_23-30717-0000100,20220922,2
HBL 22_23-30717,20220923,2
HBL 22_23-30717-0000100,20220923,2
